ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
IN0020200104,2026-02-04,2026-02-04,CM,NSE,STK,19078,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15845.0,16485.0,15631.0,16212.07,16171.0,15670.69,,16212.07,,,792,12740106.97,134,F1,1,,,,,
IN0020200286,2026-02-04,2026-02-04,CM,NSE,STK,1342,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15713.5,16345.96,15713.5,16240.26,16292.0,15404.4,,16240.26,,,321,5201850.11,107,F1,1,,,,,
IN0020210053,2026-02-04,2026-02-04,CM,NSE,STK,3742,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15700.0,16339.0,15700.0,16202.5,16245.0,15432.58,,16244.16,,,1373,22211410.45,290,F1,1,,,,,
IN0020210061,2026-02-04,2026-02-04,CM,NSE,STK,3743,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15800.0,16354.42,15800.0,16305.61,16354.42,15432.46,,16341.56,,,739,12025447.26,149,F1,1,,,,,
IN0020210087,2026-02-04,2026-02-04,CM,NSE,STK,3800,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,16100.0,16500.0,16100.0,16226.75,16300.0,15471.23,,16226.75,,,283,4592837.33,88,F1,1,,,,,
IN0020210145,2026-02-04,2026-02-04,CM,NSE,STK,5575,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15805.6,16350.0,15656.66,16189.16,16254.0,15494.66,,16198.81,,,613,9943147.58,161,F1,1,,,,,
IN0020210178,2026-02-04,2026-02-04,CM,NSE,STK,6518,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,16000.0,16345.0,16000.0,16224.41,16225.0,15486.66,,16225.67,,,821,13330639.03,179,F1,1,,,,,
IN0020180033,2026-02-04,2026-02-04,CM,NSE,STK,2891,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,16200.0,16200.0,15555.0,16161.69,16199.0,15300.2,,16161.69,,,235,3743276.62,46,F1,1,,,,,
IN0020180249,2026-02-04,2026-02-04,CM,NSE,STK,5960,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,16201.0,16201.0,15900.0,16101.0,16101.0,15432.25,,16101.0,,,77,1240242.0,21,F1,1,,,,,
IN0020180314,2026-02-04,2026-02-04,CM,NSE,STK,6355,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,16273.49,16273.49,15400.0,16204.41,16200.0,15314.95,,16204.41,,,103,1636311.48,17,F1,1,,,,,
IN0020180389,2026-02-04,2026-02-04,CM,NSE,STK,7654,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,17044.0,17044.0,17044.0,17044.0,17044.0,15499.0,,17044.0,,,5,85220.0,1,F1,1,,,,,
IN0020190073,2026-02-04,2026-02-04,CM,NSE,STK,10261,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15703.0,16200.0,15703.0,16181.34,16200.0,15496.34,,16181.34,,,16,258413.15,9,F1,1,,,,,
IN0020190081,2026-02-04,2026-02-04,CM,NSE,STK,11154,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15563.01,16049.0,15563.01,16000.14,16000.0,15333.16,,16000.14,,,55,874492.67,18,F1,1,,,,,
IN0020190107,2026-02-04,2026-02-04,CM,NSE,STK,12904,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,16000.0,16499.0,16000.0,16480.87,16490.0,15502.0,,16480.87,,,95,1560448.82,42,F1,1,,,,,
IN0020190115,2026-02-04,2026-02-04,CM,NSE,STK,13209,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,16250.0,16250.0,16017.48,16219.71,16250.0,15372.75,,16219.71,,,16,259464.59,6,F1,1,,,,,
IN0020180462,2026-02-04,2026-02-04,CM,NSE,STK,8308,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,16000.0,16297.0,16000.0,16155.37,16297.0,15306.18,,16155.37,,,50,805188.01,22,F1,1,,,,,
IN0020190370,2026-02-04,2026-02-04,CM,NSE,STK,13981,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,16001.0,16005.0,16001.0,16003.0,16003.0,15689.0,,16003.0,,,25,400083.0,8,F1,1,,,,,
IN0020180561,2026-02-04,2026-02-04,CM,NSE,STK,8766,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,16400.0,16720.0,16400.0,16720.0,16720.0,15200.0,,16720.0,,,18,296760.0,5,F1,1,,,,,
IN0020190388,2026-02-04,2026-02-04,CM,NSE,STK,14252,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,16251.0,16299.97,15910.0,16101.4,16171.0,15446.17,,16117.66,,,45,729034.24,16,F1,1,,,,,
IN0020190461,2026-02-04,2026-02-04,CM,NSE,STK,15432,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,16011.0,16750.0,16011.0,16033.0,16033.0,15484.68,,16223.75,,,53,866658.22,21,F1,1,,,,,
IN0020200062,2026-02-04,2026-02-04,CM,NSE,STK,18862,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15811.0,16370.0,15811.0,16218.44,16220.02,15441.98,,16217.29,,,656,10651067.06,172,F1,1,,,,,
