SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 01-Feb-2026,106.54,106.5,106.55,106.5,106.55,106.55,106.5,1008,1.07,5, 1008, 100.00
20MICRONS, EQ, 01-Feb-2026,175.28,174.83,178.02,171.0,171.65,172.55,174.68,57259,100.02,2278, 21582, 37.69
21STCENMGM, EQ, 01-Feb-2026,38.0,38.75,38.76,37.24,37.24,37.24,37.58,7019,2.64,91, 6377, 90.85
360ONE, EQ, 01-Feb-2026,1134.3,1134.3,1135.1,1025.1,1117.0,1101.8,1103.97,1075542,11873.68,30782, 348602, 32.41
3IINFOLTD, EQ, 01-Feb-2026,14.97,15.0,15.25,14.68,14.88,14.95,14.94,180209,26.93,1374, 133486, 74.07
3MINDIA, EQ, 01-Feb-2026,34390.0,34390.0,34885.0,33705.0,34600.0,34525.0,34383.31,1132,389.22,697, 444, 39.22
3PLAND, EQ, 01-Feb-2026,35.37,36.49,36.49,32.71,34.99,34.56,34.08,6646,2.26,118, 5822, 87.60
563GS2026, GS, 01-Feb-2026,101.47,103.0,103.0,101.2,101.2,101.2,101.87,3,0.0,3, 1, 33.33
585GS2030, GS, 01-Feb-2026,98.5,96.12,96.12,96.12,96.12,96.12,96.12,1000,0.96,1, 1000, 100.00
591GS2028, GS, 01-Feb-2026,99.59,99.6,99.6,99.13,99.13,99.13,99.21,1200,1.19,3, 1200, 100.00
5PAISA, EQ, 01-Feb-2026,346.6,347.1,347.25,302.0,340.0,331.9,325.9,115317,375.82,5280, 24980, 21.66
601GS2030, GS, 01-Feb-2026,98.5,97.3,98.5,97.3,97.3,97.3,97.33,2938,2.86,7, 2938, 100.00
619GS2034, GS, 01-Feb-2026,96.26,96.02,96.02,96.02,96.02,96.02,96.02,384,0.37,1, 384, 100.00
628GS2032, GS, 01-Feb-2026,96.55,95.0,96.62,95.0,96.62,96.62,95.81,100,0.1,2, 100, 100.00
633GS2035, GS, 01-Feb-2026,98.1,97.85,99.4,97.85,99.4,99.4,97.87,101,0.1,2, 100, 99.01
63MOONS, EQ, 01-Feb-2026,648.5,650.0,672.0,627.0,630.9,629.6,644.4,111501,718.51,5114, 50947, 45.69
648GS2035, GS, 01-Feb-2026,99.5,100.6,100.6,100.6,100.6,100.6,100.6,1490,1.5,3, 1490, 100.00
664GS2035, GS, 01-Feb-2026,98.96,98.95,98.95,98.95,98.95,98.95,98.95,442,0.44,1, 442, 100.00
667GS2035, GS, 01-Feb-2026,101.01,98.45,98.5,98.45,98.5,98.5,98.47,4311,4.25,3, 4311, 100.00
668GS2033, GS, 01-Feb-2026,100.0,100.5,100.5,98.0,98.0,98.0,98.02,102,0.1,3, 101, 99.02
668GS2040, GS, 01-Feb-2026,96.8,96.0,96.9,95.3,96.8,96.8,95.67,16510,15.8,16, 13000, 78.74
675GS2029, GS, 01-Feb-2026,101.41,101.5,101.56,101.5,101.56,101.56,101.53,200,0.2,2, 200, 100.00
676GS2061, GS, 01-Feb-2026,94.57,94.6,94.6,93.7,94.5,94.42,94.43,5502,5.2,5, 5501, 99.98
690GS2065, GS, 01-Feb-2026,94.9,94.7,95.0,94.2,94.65,94.85,94.72,79024,74.85,33, 47442, 60.03
695GS2061, GS, 01-Feb-2026,94.49,94.79,94.79,94.65,94.65,94.65,94.74,8,0.01,3, 7, 87.50
699GS2026, GS, 01-Feb-2026,102.1,102.1,102.1,102.0,102.0,102.0,102.0,1106,1.13,4, 1106, 100.00
699GS2051, GS, 01-Feb-2026,96.58,95.3,96.3,95.05,96.3,96.01,95.75,13253,12.69,8, 12774, 96.39
702GS2027, GS, 01-Feb-2026,101.9,101.8,101.8,101.5,101.5,101.5,101.57,4175,4.24,7, 4100, 98.20
702GS2031, GS, 01-Feb-2026,101.65,101.3,101.3,101.3,101.3,101.3,101.3,1000,1.01,1, 1000, 100.00
704GS2029, GS, 01-Feb-2026,103.01,102.65,102.65,102.65,102.65,102.65,102.65,100,0.1,1, 100, 100.00
709GS2054, GS, 01-Feb-2026,100.0,100.0,100.0,99.0,99.77,99.77,99.12,28706,28.45,20, 28700, 99.98
709GS2074, GS, 01-Feb-2026,97.41,97.0,97.25,97.0,97.0,97.03,97.01,94243,91.43,85, 94243, 100.00
710GS2029, GS, 01-Feb-2026,104.21,104.21,105.08,104.21,105.08,104.66,104.32,14038,14.64,7, 13960, 99.44
716GS2050, GS, 01-Feb-2026,101.01,101.01,101.01,101.01,101.01,101.01,101.01,500,0.51,1, 500, 100.00
717GS2030, GS, 01-Feb-2026,104.9,103.35,104.75,103.35,103.55,103.55,103.41,8639,8.93,10, 8637, 99.98
718GS2037, GS, 01-Feb-2026,101.49,101.25,101.9,101.25,101.9,101.9,101.36,9413,9.54,4, 9413, 100.00
719GS2060, GS, 01-Feb-2026,100.0,100.5,100.5,99.7,99.7,99.7,100.37,3000,3.01,6, 3000, 100.00
71GS2034, GS, 01-Feb-2026,103.5,103.55,103.55,103.55,103.55,103.55,103.55,100,0.1,1, 100, 100.00
723GS2039, GS, 01-Feb-2026,103.85,103.85,103.85,103.85,103.85,103.85,103.85,25,0.03,1, 25, 100.00
724GS2055, GS, 01-Feb-2026,101.75,101.51,101.98,101.25,101.5,101.45,101.49,4109,4.17,23, 3493, 85.01
725GS2063, GS, 01-Feb-2026,99.39,99.0,99.35,98.8,99.25,99.06,99.0,106257,105.19,184, 104756, 98.59
726GS2032, GS, 01-Feb-2026,106.27,106.45,106.45,105.6,105.6,105.6,106.06,1999,2.12,4, 1999, 100.00
726GS2033, GS, 01-Feb-2026,106.22,105.15,105.15,105.15,105.15,105.15,105.15,1000,1.05,1, 1000, 100.00
