Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,01-02-2026,25333.75,25440.9,24571.75,24825.45,-495.2,-1.96,379370206,25572.6,21.57,3.38,1.3
Nifty Next 50,01-02-2026,67537.15,67991.9,65300.05,66360.55,-1479.3,-2.18,372490632,17367.68,19.26,3.45,1.44
Nifty 100,01-02-2026,25894.25,26013,25105.35,25385.85,-516.15,-1.99,751860838,42940.29,21.16,3.39,1.33
Nifty 200,01-02-2026,14089.75,14151.6,13637.85,13805.8,-287.25,-2.04,2028593452,65929.07,22.47,3.51,1.24
Nifty 500,01-02-2026,23067.5,23160.1,22337.3,22611.3,-468.2,-2.03,2763739018,94014.67,23.01,3.52,1.18
Nifty Midcap 50,01-02-2026,16709.6,16757.35,16038.55,16349.4,-343.85,-2.06,293435084,13157.24,31.38,4.36,.84
NIFTY Midcap 100,01-02-2026,58435.7,58650.15,56126.55,57120.8,-1311.2,-2.24,1276732614,22988.78,31.23,4.16,.84
NIFTY Smallcap 100,01-02-2026,16767.7,16780.5,16155.35,16418.15,-460.95,-2.73,503152003,21923.48,29.28,3.55,.78
Nifty50 Dividend Points,01-02-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,01-02-2026,26855.8,27144.85,25928.5,26190.65,-559.7,-2.09,29607619,3076.96,28.14,4.49,1.21
Nifty Bank,01-02-2026,59607.65,59865.7,57783.2,58417.2,-1193.25,-2,204312522,5673.45,15.8,2.09,1
Nifty Energy,01-02-2026,35176,35307.65,33815.25,34056.35,-1081.7,-3.08,285408499,7190.18,14.6,2.22,2.18
Nifty Financial Services,01-02-2026,27326.8,27427.75,26368.1,26699.1,-631.75,-2.31,127632340,11770.55,17.22,2.81,.86
Nifty FMCG,01-02-2026,51316.6,51324.8,49741.65,50042.8,-1172.4,-2.29,43610476,2144.28,36.19,9.03,2.25
Nifty IT,01-02-2026,37936.95,38833.75,37297.55,38252.95,216.8,.57,34222550,3406.81,27.18,7.1,2.77
Nifty Media,01-02-2026,1381.9,1383.45,1347.75,1360.2,-25.0,-1.8,13682780,190.18,29.15,1.43,1.42
Nifty Metal,01-02-2026,11429.5,11676.8,11187.2,11348.65,-478.9,-4.05,326892448,15234.11,20.19,2.96,1.61
Nifty MNC,01-02-2026,30179.4,30422,29521.3,29783.85,-635.6,-2.09,62856982,5303.52,37.25,8.56,1.55
Nifty Pharma,01-02-2026,21874.7,21917.75,21436.7,21535.3,-179.8,-.83,17440057,1627.1,32.58,4.69,.68
Nifty PSU Bank,01-02-2026,8969.3,8996.4,8387.95,8517.2,-502.15,-5.57,151433180,3203.8,8.52,1.39,2.25
Nifty Realty,01-02-2026,785.1,788.2,746.85,765.65,-17.35,-2.22,42771743,2691.83,34.46,3.7,.39
Nifty India Consumption,01-02-2026,11504.65,11530.8,11145.5,11271.7,-197.3,-1.72,96142819,9204.26,37.52,7.62,1.16
Nifty Commodities,01-02-2026,9561.1,9658.7,9300.4,9330.65,-319.3,-3.31,224866224,10078.76,16.18,2.22,1.66
Nifty Dividend Opportunities 50,01-02-2026,6380.8,6400.05,6177.2,6264.2,-142.45,-2.22,576547612,21245.95,14.68,2.91,2.9
Nifty Infrastructure,01-02-2026,9172.4,9237.35,8844.5,8923.35,-229.85,-2.51,212115245,9244.16,20.17,2.93,1.1
Nifty PSE,01-02-2026,10197.45,10251.9,9687.5,9848.0,-323.25,-3.18,402264670,13496.91,11.04,1.98,2.93
Nifty Services Sector,01-02-2026,33124.95,33246.85,32175.4,32652.2,-476.25,-1.44,184997438,15869,21.01,3.44,1.29
Nifty50 Shariah,01-02-2026,4785.8,4824.55,4688.8,4749.85,-46.35,-.97,58810017,6076.71,24.98,4.57,2.05
Nifty500 Shariah,01-02-2026,6975.1,7002.6,6812.35,6896.4,-87.05,-1.25,617009981,28932.33,27.15,4.66,1.44
Nifty Low Volatility 50,01-02-2026,24961.35,25023,24348,24546.1,-358.8,-1.44,150924941,15830.19,29.94,4.94,1.27
Nifty Alpha 50,01-02-2026,48425.3,48434.5,46191.65,46961.25,-1675.6,-3.45,278640337,24670.68,29.74,4.06,.63
Nifty High Beta 50,01-02-2026,3749.7,3769.25,3560.9,3632.65,-142.05,-3.76,1271598992,30388.08,22.49,2.82,1.18
Nifty100 Equal Weight,01-02-2026,33169.95,33324.6,32075.7,32462.2,-753.95,-2.27,751860838,42940.29,21.91,3.6,1.33
Nifty100 Liquid 15,01-02-2026,7290.9,7341.3,6971.55,7091.8,-195.7,-2.69,211247384,11629.03,22.03,3.2,.91
Nifty CPSE,01-02-2026,6842.5,6891.85,6468.2,6544.25,-269.1,-3.95,184707816,6741.43,13.52,2.1,2.76
Nifty50 Value 20,01-02-2026,13209.75,13244.75,12848.55,12981.1,-245.55,-1.86,162119930,10479.14,16.98,2.99,2.01
Nifty Midcap Liquid 15,01-02-2026,15554.7,15585.45,14792.9,15136.15,-377.65,-2.43,182391383,8208.93,35.48,4.3,.65
Nifty Shariah 25,01-02-2026,8292.85,8336.45,8094.8,8172.8,-116.4,-1.4,61121688,6811.34,29.42,5.18,1.86
India VIX,01-02-2026,13.6325,16.1125,13.3475,15.1,1.46,10.73,-,-,-,-,-
Nifty Growth Sectors 15,01-02-2026,12007.85,12113.35,11770.55,11961.15,-11.45,-.1,40035323,5709.96,31.3,7.11,1.77
Nifty50 TR 1x Inverse,01-02-2026,169.35,174.45,168.65,172.75,3.35,1.98,-,-,-,-,-
Nifty50 TR 2x Leverage,01-02-2026,20593.7,20765.55,19360.65,19767.55,-809.95,-3.94,-,-,-,-,-
Nifty50 PR 1x Inverse,01-02-2026,207.1,213.3,206.25,211.25,4.1,1.98,-,-,-,-,-
Nifty50 PR 2x Leverage,01-02-2026,13745.95,13860.65,12922.9,13194.5,-540.65,-3.94,-,-,-,-,-
NIFTY100 Quality 30,01-02-2026,5802.75,5810.6,5596.2,5682.0,-124.6,-2.15,238313837,17303.69,30.98,7.81,1.84
Nifty India Railways PSU,01-02-2026,-,-,-,3271.6,-124.83,-3.68,317586419,9407.48,24.36,3.34,1.54
Nifty Consumer Durables,01-02-2026,34552.55,34984.15,33563.2,34232.1,-155.45,-.45,16930775,2957.18,56.87,10.73,.43
Nifty Non-Cyclical Consumer,01-02-2026,14957.15,14983.1,14519.85,14714.8,-211.5,-1.42,91119188,6799.7,51.24,10.16,1.09
Nifty500 Multicap India Manufacturing 50:30:20,01-02-2026,15291.55,15418.8,14785.9,14929.1,-358.8,-2.35,386975707,23477.39,27.33,3.87,.86
Nifty EV & New Age Automotive,01-02-2026,2962.6,2979.9,2862.35,2905.55,-48.8,-1.65,112920375,6697.43,33.85,4.57,1
Nifty500 LargeMidSmall Equal-Cap Weighted,01-02-2026,17341.7,17397.95,16778.45,17001.7,-361.85,-2.08,2763739018,94014.67,25.59,3.6,.98
Nifty India Tourism,01-02-2026,7733.2,7781.95,7446.9,7589.85,-115.0,-1.49,20511508,724.74,60.53,8.98,.28
Nifty MidSmallcap 400,01-02-2026,19345.35,19397.7,18676.25,18955.9,-410.05,-2.12,2011878180,51074.38,29.36,3.87,.82
